,VM Name,vCPUs,Memory (GiB),Linux Price,Windows Price
,Standard_E16ds_v5,16,128,1.1520,1.8880
,Standard_E20pds_v5,20,160,1.1520,2.0720
,Standard_EC16ads_v5,16,128,1.1530,1.8890
,Standard_D5_v2,16,56,1.1700,2.0160
,Standard_DS5_v2,16,56,1.1700,2.0160
,Standard_E16bs_v5,16,128,1.1920,1.9280
,Standard_NC16as_T4_v3,16,110,1.2040,1.9400
,Standard_H8m,8,112,1.2110,2.3500
,Standard_D32plds_v5,32,64,1.2290,2.7010
,Standard_D32ps_v5,32,128,1.2320,2.7040
,Standard_EC20as_v5,20,160,1.2430,2.1630
,Standard_L16as_v3,16,128,1.2480,1.9840
,Standard_L16s_v2,16,128,1.2480,1.9840
,Standard_E20_v3,20,160,1.2600,2.1800
,Standard_E20_v4,20,160,1.2600,2.1800
,Standard_E20_v5,20,160,1.2600,2.1800
,Standard_E20a_v4,20,160,1.2600,2.1800
,Standard_E20as_v4,20,160,1.2600,2.1800
,Standard_E20s_v3,20,160,1.2600,2.1800
,Standard_E20s_v4,20,160,1.2600,2.1800
,Standard_E20s_v5,20,160,1.2600,2.1800
,Standard_E20ads_v5,20,160,1.3100,2.2300
,Standard_E16bds_v5,16,128,1.3360,2.0720
,Standard_F32s_v2,32,64,1.3530,2.6040
,Standard_D32as_v5,32,128,1.3760,2.8480
,Standard_L16s_v3,16,128,1.3920,2.1280
,Standard_E20d_v5,20,160,1.4400,2.3600
,Standard_E20ds_v4,20,160,1.4400,2.3600
,Standard_E20ds_v5,20,160,1.4400,2.3600
,Standard_EC20ads_v5,20,160,1.4410,2.3610
,Standard_D32pds_v5,32,128,1.4460,2.9180
,Standard_D14_v2,16,112,1.4820,2.1110
,Standard_DS14_v2,16,112,1.4820,2.1110
,Standard_DS14-4_v2,4,112,1.4820,2.1110
,Standard_DS14-8_v2,8,112,1.4820,2.1110
,Standard_DC32as_v5,32,128,1.5140,2.9860
,Standard_D32_v3,32,128,1.5360,3.0080
,Standard_D32_v4,32,128,1.5360,3.0080
,Standard_D32_v5,32,128,1.5360,3.0080
,Standard_D32a_v4,32,128,1.5360,3.0080
,Standard_D32as_v4,32,128,1.5360,3.0080
,Standard_D32s_v3,32,128,1.5360,3.0080
,Standard_D32s_v4,32,128,1.5360,3.0080
,Standard_D32s_v5,32,128,1.5360,3.0080
,Standard_DC16s_v3,16,128,1.5360,2.2720
,Standard_M8-2ms,2,218.75,1.5365,2.1069
,Standard_M8-4ms,4,218.75,1.5365,2.1069
,Standard_M8ms,8,218.75,1.5365,2.1069
,Standard_D14,16,112,1.5420,2.1110
,Standard_DS14,16,112,1.5420,2.1110
,Standard_NV18ads_A10_v5,18,220,1.6000,2.4280
,Standard_E32ps_v5,32,208,1.6130,3.0850
,Standard_D48pls_v5,48,96,1.6320,3.8400
,Standard_D32ads_v5,32,128,1.6480,3.1200
,Standard_NP10s,10,168,1.6500,2.1100
,Standard_NC12,12,112,1.8000,2.1680
,Standard_H16,16,112,1.8070,3.5080
,Standard_D32d_v4,32,128,1.8080,3.2800
,Standard_D32d_v5,32,128,1.8080,3.2800
,Standard_D32ds_v4,32,128,1.8080,3.2800
,Standard_D32ds_v5,32,128,1.8080,3.2800
,Standard_DC16ds_v3,16,128,1.8080,2.5440
,Standard_E32-16as_v5,16,256,1.8080,3.2800
,Standard_E32-8as_v5,8,256,1.8080,3.2800
,Standard_E32as_v5,32,256,1.8080,3.2800
,Standard_DC32ads_v5,32,128,1.8130,3.2850
,Standard_D48plds_v5,48,96,1.8430,4.0510
,Standard_E32pds_v5,32,208,1.8430,3.3150
,Standard_D48ps_v5,48,192,1.8480,4.0560
,Standard_D15_v2,20,140,1.8530,2.6390
,Standard_DS15_v2,20,140,1.8530,2.6390
,Standard_NV32as_v4,32,112,1.8640,3.3360
,Standard_H16r,16,112,1.9880,3.8580
,Standard_EC32as_v5,32,192,1.9890,3.4610
,Standard_E32_v3,32,256,2.0160,3.4880
,Standard_E32_v4,32,256,2.0160,3.4880
,Standard_E32_v5,32,256,2.0160,3.4880
,Standard_E32-16as_v4,16,256,2.0160,3.4880
,Standard_E32-16s_v3,16,256,2.0160,3.4880
,Standard_E32-16s_v5,16,256,2.0160,3.4880
,Standard_E32-8as_v4,8,256,2.0160,3.4880
,Standard_E32-8s_v3,8,256,2.0160,3.4880
,Standard_E32-8s_v4,8,256,2.0160,3.4880
,Standard_E32-8s_v5,8,256,2.0160,3.4880
,Standard_E32a_v4,32,256,2.0160,3.4880
,Standard_E32as_v4,32,256,2.0160,3.4880
,Standard_E32s_v3,32,256,2.0160,3.4880
,Standard_E32s_v4,32,256,2.0160,3.4880
,Standard_E32s_v5,32,256,2.0160,3.4880
,Standard_F48s_v2,48,96,2.0300,4.2400
,Standard_D48as_v5,48,192,2.0640,4.2720
,Standard_NC6s_v2,6,112,2.0700,2.4930
,Standard_ND6s,6,112,2.0700,2.4930
,Standard_E32-16ads_v5,16,256,2.0960,3.5680
,Standard_E32-8ads_v5,8,256,2.0960,3.5680
,Standard_E32ads_v5,32,256,2.0960,3.5680
,Standard_D48pds_v5,48,192,2.1700,4.3780
,Standard_D64pls_v5,64,128,2.1760,5.1200
,Standard_FX24mds,24,504,2.2320,3.3360
,Standard_DC48as_v5,48,192,2.2700,4.4780
,Standard_HB60-15rs,15,228,2.2800,5.0400
,Standard_HB60-30rs,30,228,2.2800,5.0400
,Standard_HB60-45rs,45,228,2.2800,5.0400
,Standard_HB60rs,60,228,2.2800,5.0400
,Standard_NV12,12,112,2.2800,2.8800
,Standard_NV24s_v3,24,224,2.2800,3.3840
,Standard_D48_v3,48,192,2.3040,4.5120
,Standard_D48_v4,48,192,2.3040,4.5120
,Standard_D48_v5,48,192,2.3040,4.5120
,Standard_D48a_v4,48,192,2.3040,4.5120
,Standard_D48as_v4,48,192,2.3040,4.5120
,Standard_D48s_v3,48,192,2.3040,4.5120
,Standard_D48s_v4,48,192,2.3040,4.5120
,Standard_D48s_v5,48,192,2.3040,4.5120
,Standard_DC24s_v3,24,192,2.3040,3.4080
,Standard_E32-16ds_v4,16,256,2.3040,3.7760
,Standard_E32-16ds_v5,16,256,2.3040,3.7760
,Standard_E32-8ds_v4,8,256,2.3040,3.7760
,Standard_E32-8ds_v5,8,256,2.3040,3.7760
,Standard_E32d_v4,32,256,2.3040,3.7760
,Standard_E32d_v5,32,256,2.3040,3.7760
,Standard_E32ds_v4,32,256,2.3040,3.7760
,Standard_E32ds_v5,32,256,2.3040,3.7760
,Standard_EC32ads_v5,32,192,2.3060,3.7780
,Standard_E32bs_v5,32,256,2.3840,3.8560
,Standard_H16m,16,224,2.4220,4.6990
,Standard_D64plds_v5,64,128,2.4580,5.4020
,Standard_D64ps_v5,64,208,2.4640,5.4080
,Standard_D48ads_v5,48,192,2.4720,4.6800
,Standard_L32as_v3,32,256,2.4960,3.9680
,Standard_L32s_v2,32,256,2.4960,3.9680
,Standard_H16mr,16,224,2.6640,5.1690
,Standard_E32bds_v5,32,256,2.6720,4.1440
,Standard_F64s_v2,64,128,2.7060,5.2090
,Standard_D48d_v4,48,192,2.7120,4.9200
,Standard_D48d_v5,48,192,2.7120,4.9200
,Standard_D48ds_v4,48,192,2.7120,4.9200
,Standard_D48ds_v5,48,192,2.7120,4.9200
